name,description,columnType,maximumSize,enumValues__value,enumValues__description,enumValues__source,category
assemblyMethod,,STRING,250,velvet,,,analysis
regressionMethod,,STRING,250,fixedEffect,,,analysis
regressionMethod,,STRING,250,randomEffect,,,analysis
regressionMethod,,STRING,250,mixedEffect,,,analysis
batchEffectCorrectionMethod,,STRING,250,COMBAT,,,analysis
batchEffectCorrectionMethod,,STRING,250,SVA,,,analysis
batchEffectCorrectionMethod,,STRING,250,PCA,,,analysis
clusteringMethod,,STRING,250,hierarchicalClustering,,,analysis
clusteringMethod,,STRING,250,kMeans,,,analysis
clusteringMethod,,STRING,250,WGCNA,,,analysis
clusteringMethod,,STRING,250,principalComponentAnalysis,,,analysis
somaticMutationCallingMethod,,STRING,250,varDict,,,analysis
somaticMutationCallingMethod,,STRING,250,varDict2,,,analysis
somaticMutationCallingMethod,,STRING,250,mutect,,,analysis
somaticMutationCallingMethod,,STRING,250,varScan,,,analysis
multipleTestingAdjustmentMethod,,STRING,250,BenjaminiHochberg,,,analysis
multipleTestingAdjustmentMethod,,STRING,250,Bonferroni,,,analysis
multipleTestingAdjustmentMethod,,STRING,250,BenjaminiYekutieli,,,analysis
peakCallingMethod,,STRING,250,MACS,,,analysis
peakCallingMethod,,STRING,250,MACS2,,,analysis
peakCallingMethod,,STRING,250,GEM,,,analysis
transcriptQuantificationMethod,,STRING,250,kallisto,,,analysis
transcriptQuantificationMethod,,STRING,250,RSEM,,,analysis
transcriptQuantificationMethod,,STRING,250,featureCounts,,,analysis
transcriptQuantificationMethod,,STRING,250,DESeq2,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,WGCNA,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,sparrow,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,lasso,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,ridge,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,genie3,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,tigress,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,aracne,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,mrnet,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,c3net,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,MEGENA,,,analysis
statisticalNetworkReconstructionMethod,,STRING,250,WINA,,,analysis
differentialExpressionMethod,,STRING,250,limma,,,analysis
differentialExpressionMethod,,STRING,250,sleuth,,,analysis
differentialExpressionMethod,,STRING,250,cuffDiff,,,analysis
dnaAlignmentMethod,,STRING,250,BWA,,,analysis
dnaAlignmentMethod,,STRING,250,bowtie,,,analysis
dnaAlignmentMethod,,STRING,250,bowtie2,,,analysis
validationMethod,,STRING,250,sequenceValidation,,,analysis
validationMethod,,STRING,250,targetValidation,,,analysis
validationMethod,,STRING,250,CRISPR-CAS9,,,analysis
validationMethod,,STRING,250,RNAi,,,analysis
validationMethod,,STRING,250,shRNA,,,analysis
enrichmentMethod,,STRING,250,fishersExactTest,,,analysis
analysisType,,STRING,250,statisticalNetworkReconstruction,,,analysis
analysisType,,STRING,250,differentialExpression,,,analysis
analysisType,,STRING,250,expressionQuantitativeTraitLociDetection,,,analysis
analysisType,,STRING,250,outlierDetection,,,analysis
analysisType,,STRING,250,covariateAssociation,,,analysis
analysisType,,STRING,250,hiddenConfounderDetection,,,analysis
analysisType,,STRING,250,differentialNetwork,,,analysis
analysisType,,STRING,250,methylationQuantitativeTraitLociDetection,,,analysis
analysisType,,STRING,250,networkDriverDetection,,,analysis
analysisType,,STRING,250,principalComponents,,,analysis
analysisType,,STRING,250,genomeWideAssociation,,,analysis
analysisType,,STRING,250,clustering,,,analysis
analysisType,,STRING,250,supervisedLearning,,,analysis
analysisType,,STRING,250,batchEffectCorrection,,,analysis
analysisType,,STRING,250,anova,,,analysis
analysisType,,STRING,250,variancePartition,,,analysis
analysisType,,STRING,250,moduleIdentification,,,analysis
analysisType,,STRING,250,visualization,,,analysis
analysisType,,STRING,250,transcriptQuantification,,,analysis
analysisType,,STRING,250,somaticMutationCalling,,,analysis
analysisType,,STRING,250,peakCalling,,,analysis
visualisationMethod,,STRING,250,scatterPlot,,,analysis
visualisationMethod,,STRING,250,heatMap,,,analysis
visualisationMethod,,STRING,250,barChart,,,analysis
rnaAlignmentMethod,,STRING,250,SNAPR,,,analysis
rnaAlignmentMethod,,STRING,250,STAR,,,analysis
rnaAlignmentMethod,,STRING,250,GSNAP,,,analysis
rnaAlignmentMethod,,STRING,250,topHat,,,analysis
rnaAlignmentMethod,,STRING,250,mosaic,,,analysis
rnaAlignmentMethod,,STRING,250,novoAlign,,,analysis
rnaAlignmentMethod,,STRING,250,olego,,,analysis
supervisedLearningMethod,,STRING,250,penalizedLogisticRegression,,,analysis
supervisedLearningMethod,,STRING,250,penalizedLinearRegression,,,analysis
supervisedLearningMethod,,STRING,250,randomForest,,,analysis
supervisedLearningMethod,,STRING,250,supportVectorMachine,,,analysis
supervisedLearningMethod,,STRING,250,deepLearning,,,analysis
supervisedLearningMethod,,STRING,250,boosting,,,analysis
supervisedLearningMethod,,STRING,250,bagging,,,analysis
supervisedLearningMethod,,STRING,250,naiveBayes,,,analysis
supervisedLearningMethod,,STRING,250,GaussianProcessRegression,,,analysis
