name,description,columnType,maximumSize,enumValues__value,enumValues__description,enumValues__source,category
specimenID,Identifying string linked to a particular sample or specimen,STRING,250,,,,standard
assay,The technology used to generate the data in this file,STRING,250,rnaSeq,RNA Sequencing measurements,http://purl.obolibrary.org/obo/OBI_0001271,standard
assay,The technology used to generate the data in this file,STRING,250,mirnaSeq,Small RNA measurements collected from RNA-Seq experiments,http://purl.obolibrary.org/obo/OBI_0002112,standard
assay,The technology used to generate the data in this file,STRING,250,lncrnaSeq,Long non-coding RNA measurements collected from RNA-Seq experiments,,standard
assay,The technology used to generate the data in this file,STRING,250,exomeSeq,Data derived from exome sequencing,http://purl.obolibrary.org/obo/OBI_0002118,standard
assay,The technology used to generate the data in this file,STRING,250,CHiPSeq,Chromatin immuno-precipitation followed by sequencing,http://purl.obolibrary.org/obo/OBI_0000716,standard
assay,The technology used to generate the data in this file,STRING,250,rnaArray,RNA measurements captured by array technology,http://purl.obolibrary.org/obo/OBI_0001463,standard
assay,The technology used to generate the data in this file,STRING,250,snpArray,SNP measurements captured by array technology,http://purl.obolibrary.org/obo/OBI_0001204,standard
assay,The technology used to generate the data in this file,STRING,250,methylationArray,Methylation data captured by array technology,http://purl.obolibrary.org/obo/OBI_0001332,standard
assay,The technology used to generate the data in this file,STRING,250,mirnaArray,microRNA measurements captured by array technology,http://purl.obolibrary.org/obo/OBI_0001335,standard
assay,The technology used to generate the data in this file,STRING,250,bisulfiteSeq,Methylation data captured by sequencing of DNA treated by a bisulfite-based chemical process,http://purl.obolibrary.org/obo/OBI_0000748,standard
assay,The technology used to generate the data in this file,STRING,250,ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment,http://purl.obolibrary.org/obo/OBI_0002039,standard
assay,The technology used to generate the data in this file,STRING,250,NOMeSeq,Nucleosome occupancy and DNA methylation profiles measured by chemical treatment of DNA followed by sequencing,,standard
assay,The technology used to generate the data in this file,STRING,250,HI-C,Chromatin interactions detected by HI-C protocol,http://www.ebi.ac.uk/efo/EFO_0007693,standard
assay,The technology used to generate the data in this file,STRING,250,errBisulfiteSeq,Data for enriched reduced representation bisulfite sequencing data,,standard
assay,The technology used to generate the data in this file,STRING,250,ISOSeq,Full isoform sequencing,,standard
assay,The technology used to generate the data in this file,STRING,250,MRI,"Techniques that uses magnetic fields and radiowaves to form images, typically to investigate the anatomy and physiology of the human body.",http://edamontology.org/topic_3444,standard
assay,The technology used to generate the data in this file,STRING,250,westernBlot,A multistep process in which a mixture of proteins is separated by gel electrophoresis,http://purl.obolibrary.org/obo/MMO_0000338,standard
assay,The technology used to generate the data in this file,STRING,250,wholeGenomeSeq,Laboratory technique to sequence the complete DNA sequence of an organism's genome at a single time,http://edamontology.org/topic_3673,standard
assay,The technology used to generate the data in this file,STRING,250,polymeraseChainReaction,"A rapid technique for in vitro amplification of specific DNA or RNA sequences, allowing small quantities of short sequences to be analyzed without cloning",http://purl.obolibrary.org/obo/MMO_0000459,standard
assay,The technology used to generate the data in this file,STRING,250,cellViabilityAssay,This assay type measures the cellular state of living or dying by measuring an indicator of life or death,http://www.bioassayontology.org/bao#BAO_0003009,standard
assay,The technology used to generate the data in this file,STRING,250,atomicForceMicroscopy,Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen,http://purl.obolibrary.org/obo/CHMO_0000113,standard
assay,The technology used to generate the data in this file,STRING,250,brightfieldMicroscopy,Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective,http://purl.obolibrary.org/obo/CHMO_0000104,standard
assay,The technology used to generate the data in this file,STRING,250,tractionForceMicroscopy,An experimental method for determining the tractions on the surface of a biological cell by obtaining measurements of the surrounding displacement field within an in vitro extracellular matrix (ECM),https://en.wikipedia.org/wiki/Traction_force_microscopy,standard
assay,The technology used to generate the data in this file,STRING,250,targetedGeneSeq,Sequencing of a small set of genes at a generally greater depth than typical WGS methods,https://www.illumina.com/techniques/sequencing/dna-sequencing/targeted-resequencing/targeted-panels.html,standard
assay,The technology used to generate the data in this file,STRING,250,jumpingLibrary,,,standard
assay,The technology used to generate the data in this file,STRING,250,MIB/MS,Kinomics assay using multiplexed kinase inhibitor beads and mass spectrometry (MIB/MS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3328787/,standard
assay,The technology used to generate the data in this file,STRING,250,MudPIT,MudPIT is a method for rapid and large-scale protein identification by multidimensional liquid chromatography associated with tandem mass spectrometry,http://purl.obolibrary.org/obo/MI_0658,standard
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.",STRING,250,dataMatrix,A file of data containing multiple values for multiple samples.,,standard
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.",STRING,250,raw,"A data file produced by an instrument, or one with very little subsequent processing.",,standard
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.",STRING,250,processed,A file of data generated from running one or more bioinformatics methods on a raw file.,,standard
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.",STRING,250,metadata,"A file of clinical, technical, or other parameters that describe a dataset.",,standard
organ,The organ from which the sample is derived,STRING,250,skin,The integument of an animal (as a fur-bearing mammal or a bird) separated from the body usually with its hair or feathers.,http://purl.obolibrary.org/obo/BTO_0001253,standard
organ,The organ from which the sample is derived,STRING,250,nerves,"Any of the filamentous bands of nervous tissue that connect parts of the nervous system with the other organs, conduct nervous impulses, and are made up of axons and dendrites together with protective and supportive structures.",http://purl.obolibrary.org/obo/BTO_0000925,standard
organ,The organ from which the sample is derived,STRING,250,brain,The portion of the vertebrate central nervous system that constitutes the organ of thought and neural coordination.,http://purl.obolibrary.org/obo/BTO_0000142,standard
organ,The organ from which the sample is derived,STRING,250,blood,"The fluid that circulates in the heart, arteries, capillaries, and veins of a vertebrate animal carrying nourishment and oxygen to and bringing away waste products from all parts of the body.",http://purl.obolibrary.org/obo/BTO_0000089,standard
organ,The organ from which the sample is derived,STRING,250,breast,The fore or ventral part of the body between the neck and the abdomen.,http://purl.obolibrary.org/obo/BTO_0000149,standard
organ,The organ from which the sample is derived,STRING,250,colon,The part of the large intestine that extends from the cecum to the rectum.,http://purl.obolibrary.org/obo/BTO_0000269,standard
organ,The organ from which the sample is derived,STRING,250,lung,One of the usually paired compound saccular thoracic organs that constitute the basic respiratory organ of air-breathing vertebrates.,http://purl.obolibrary.org/obo/BTO_0000763,standard
organ,The organ from which the sample is derived,STRING,250,prostate,Lobular organ the parenchyma of which has as its parts glandular acini which are continuous with the prostatic part of the urethra.,http://purl.obolibrary.org/obo/FMA_9600,standard
organ,The organ from which the sample is derived,STRING,250,pancreas,A large lobulated gland of vertebrates that secretes digestive enzymes and the hormones insulin and glucagon.,http://purl.obolibrary.org/obo/BTO_0000988,standard
organ,The organ from which the sample is derived,STRING,250,ovary,One of the typically paired essential female reproductive organs that produce eggs and in vertebrates female sex hormones.,http://purl.obolibrary.org/obo/BTO_0000975,standard
organ,The organ from which the sample is derived,STRING,250,spleen,"A highly vascular ductless organ that is located in the left abdominal region near the stomach or intestine of most vertebrates and is concerned with final destruction of red blood cells, filtration and storage of blood, and production of lymphocytes.",http://purl.obolibrary.org/obo/BTO_0001281,standard
fundingAgency,The organization providing financial support for generation of this data.,STRING,250,CTF,Childrens' Tumor Foundation,http://www.ctf.org,standard
fundingAgency,The organization providing financial support for generation of this data.,STRING,250,NIH-NCI,National Institutes of Health - National Cancer Institute,https://www.cancer.gov,standard
fundingAgency,The organization providing financial support for generation of this data.,STRING,250,NTAP,Neurofibromatosis Therapeutic Acceleration Program,http://www.n-tap.org,standard
fundingAgency,The organization providing financial support for generation of this data.,STRING,250,NIH-NIA,National Institutes of Health - National Institute of Aging,https://www.nia.nih.gov,standard
fundingAgency,The organization providing financial support for generation of this data.,STRING,250,NIH-NIMH,National Institutes of Health - National Institute of Mental Health,https://www.nimh.nih.gov,standard
fundingAgency,The organization providing financial support for generation of this data.,STRING,250,AACR,American Association for Cancer Research,http://www.aacr.org,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,genomicVariants,"Genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.",https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Foperation_3227,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,image,Biological or biomedical data that has been rendered into an image.,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2968,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,geneExpression,The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0203,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,isoformExpression,Expression of protien isoforms formed from alternative splicings or other post-translational modifications of a single gene through RNA splicing mechanisms.,https://en.wikipedia.org/wiki/Protein_isoform,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,proteomics,"Protein and peptide identification, especially in the study of whole proteomes of organisms.",https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,kinomics,Kinomics is the study of protein kinases and protein kinase signaling.,http://www.kinomecore.com/what-is-kinomics/,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,drugScreen,Information on drug sensitivity and molecular markers of drug response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,cellularPhysiology,,,standard
dataType,Types of input/output data in bioinformatics pipelines,STRING,250,chromatinActivity,Chromatin activity that allow access of condensed genomic DNA and potentially control gene expression.,https://en.wikipedia.org/wiki/Chromatin_remodeling,standard
individualIdSource,Database or repository to which individual ID maps,STRING,250,,,,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,cerebral cortex,The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000956,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,frontal lobe,Frontal lobe is the anterior-most of five lobes of the cerebral hemisphere. It is bounded by the central sulcus on its posterior border and by the longitudinal cerebral fissure on its medial border.,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016525,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,hippocampus,A curved elongated ridge that extends over the floor of the descending horn of each lateral ventricle of the brain and consists of gray matter covered on the ventricular surface with white matter.,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000601,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,nerve tissue,"Portion of tissue in the nervous system which consists of neurons and glial cells, and may also contain parts of the vasculature.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0003714,standard
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,STRING,250,dorsolateral prefrontal cortex,"Broadly-defined, consists of the lateral portions of Brodmann areas 9 - 12, of areas 45, 46, and the superior part of area 47.",https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0009834,standard
