name,description,columnType,maximumSize,enumValues_value,enumValues_description,enumValues_source,project
fileStage,,STRING,250,staging,,,genie
fileStage,,STRING,250,release,,,genie
cBioFileFormat,,STRING,250,clinical,,,genie
cBioFileFormat,,STRING,250,CNA,,,genie
cBioFileFormat,,STRING,250,fusions,,,genie
center,,STRING,250,NKI,,,genie
center,,STRING,250,DFCI,,,genie
center,,STRING,250,GRCC,,,genie
center,,STRING,250,JHU,,,genie
center,,STRING,250,MSK,,,genie
center,,STRING,250,UHN,,,genie
center,,STRING,250,VICC,,,genie
center,,STRING,250,MDA,,,genie
