name,description,columnType,maximumSize,enumValues_value,enumValues_description,enumValues_source,project
BrodmannArea,,STRING,250,,,,neuro
group,,STRING,250,MSSM,,,neuro
group,,STRING,250,Yale,,,neuro
group,,STRING,250,LIBD,,,neuro
group,,STRING,250,UCLA,,,neuro
group,,STRING,250,UIC-UChicago,,,neuro
group,,STRING,250,Duke,,,neuro
group,,STRING,250,UNC,,,neuro
group,,STRING,250,UCSF,,,neuro
group,,STRING,250,USC,,,neuro
group,,STRING,250,GIS,,,neuro
group,,STRING,250,JHU,,,neuro
group,,STRING,250,Emory,,,neuro
group,,STRING,250,Broad-Rush,,,neuro
group,,STRING,250,UFL-Mayo-ISB,,,neuro
group,,STRING,250,Myers-NIAGADS,,,neuro
group,,STRING,250,Harvard-MIT,,,neuro
grant,,STRING,250,U01MH103339,,,neuro
grant,,STRING,250,U01MH103392,,,neuro
grant,,STRING,250,U01MH103346,,,neuro
grant,,STRING,250,U01MH103340,,,neuro
grant,,STRING,250,U01MH103365,,,neuro
grant,,STRING,250,R01MH094714,,,neuro
grant,,STRING,250,R21MH105881,,,neuro
grant,,STRING,250,R01MH105472,,,neuro
grant,,STRING,250,R21MH102791,,,neuro
grant,,STRING,250,R21MH103877,,,neuro
grant,,STRING,250,R01MH105898,,,neuro
grant,,STRING,250,P50MH106934,,,neuro
grant,,STRING,250,U01AG046152,,,neuro
grant,,STRING,250,U01AG046170,,,neuro
grant,,STRING,250,U01AG046139,,,neuro
grant,,STRING,250,U01AG046161,,,neuro
grant,,STRING,250,5R01AG046174,,,neuro
grant,,STRING,250,R01AG046171,,,neuro
assayTarget,,STRING,250,H3K9me3,,,neuro
assayTarget,,STRING,250,H3K4me3,,,neuro
assayTarget,,STRING,250,H3K4me1,,,neuro
assayTarget,,STRING,250,H3K27ac,,,neuro
assayTarget,,STRING,250,H3K36me3,,,neuro
assayTarget,,STRING,250,H3K27me3,,,neuro
assayTarget,,STRING,250,H3K9ac,,,neuro
assayTarget,,STRING,250,REST,,,neuro
assayTarget,,STRING,250,CTCF,,,neuro
assayTarget,,STRING,250,input,,,neuro
study,,STRING,250,CMC,,,neuro
study,,STRING,250,EpiMap,,,neuro
study,,STRING,250,CNON,,,neuro
study,,STRING,250,MouseHAL,,,neuro
study,,STRING,250,WGBS Pilot,,,neuro
study,,STRING,250,lncRNA Pilot,,,neuro
study,,STRING,250,BrainGVEX,,,neuro
study,,STRING,250,UCLA-ASD,,,neuro
study,,STRING,250,iPSC,,,neuro
study,,STRING,250,HumanFC,,,neuro
study,,STRING,250,EpiGABA,,,neuro
study,,STRING,250,NHP,,,neuro
study,,STRING,250,Yale-ASD,,,neuro
study,,STRING,250,BipSeq,,,neuro
study,,STRING,250,ACT,,,neuro
study,,STRING,250,BLSA,,,neuro
study,,STRING,250,HBTRC,,,neuro
study,,STRING,250,MSBB,,,neuro
study,,STRING,250,ROSMAP,,,neuro
study,,STRING,250,MayoLOADGwas,,,neuro
study,,STRING,250,MayoEGWAS,,,neuro
study,,STRING,250,MayoPilot,,,neuro
study,,STRING,250,IL10,,,neuro
study,,STRING,250,Emory,,,neuro
study,,STRING,250,TAUAPPms,,,neuro
study,,STRING,250,sampleSwap,,,neuro
study,,STRING,250,MayoRNAseq,,,neuro
study,,STRING,250,BroadMDMi,,,neuro
study,,STRING,250,BroadiPSC,,,neuro
study,,STRING,250,MSDM,,,neuro
study,,STRING,250,OFMM,,,neuro
study,,STRING,250,Lilly_microgliaRNAseq,,,neuro
study,,STRING,250,UPenn,,,neuro
study,,STRING,250,SY5Y_REST,,,neuro
study,,STRING,250,MSSMiPSC,,,neuro
study,,STRING,250,TyrobpKO,,,neuro
study,,STRING,250,MSSMiPSCMicroglia,,,neuro
study,,STRING,250,BroadAstrom109,,,neuro
study,,STRING,250,Banner,,,neuro
study,,STRING,250,EmoryDrosophilaTau,,,neuro
study,,STRING,250,WallOfTargets,,,neuro
PMI,,STRING,250,,,,neuro
fileSubFormat,,STRING,250,TranscriptomeSAM,,,neuro
fileSubFormat,,STRING,250,SortedByCoordinate,,,neuro
hemisphere,,STRING,250,left,,,neuro
hemisphere,,STRING,250,right,,,neuro
treatmentType,,STRING,250,haloperidol,,,neuro
treatmentType,,STRING,250,placebo,,,neuro
pH,,STRING,250,,,,neuro
modelSystemName,,STRING,250,TREM2,,,neuro
modelSystemName,,STRING,250,TYROBP,,,neuro
modelSystemName,,STRING,250,AB42,,,neuro
modelSystemName,,STRING,250,CRND8,,,neuro
modelSystemName,,STRING,250,APPPS1,,,neuro
modelSystemName,,STRING,250,MAPT-P301K,,,neuro
modelSystemName,,STRING,250,rTg4510,,,neuro
modelSystemName,,STRING,250,APPE693Q,,,neuro
modelSystemName,,STRING,250,APPKM650,,,neuro
modelSystemName,,STRING,250,APPKM670,,,neuro
modelSystemName,,STRING,250,APPKM670-671NL-PSEN1deltaexon9,,,neuro
modelSystemName,,STRING,250,TYROBP_WT,,,neuro
modelSystemName,,STRING,250,TYROBP_WT.KO,,,neuro
modelSystemName,,STRING,250,TYROBP_KO.KO,,,neuro
