name,description,columnType,maximumSize,enumValues_value,enumValues_description,enumValues_source,project
runType,,STRING,250,singleEnd,,,ngs
runType,,STRING,250,pairedEnd,,,ngs
isStranded,,BOOLEAN,250,TRUE,,,ngs
isStranded,,BOOLEAN,250,FALSE,,,ngs
readPairOrientation,the relative orientation of the reads in a paired-end protocol,STRING,250,inward,reads face each other,,ngs
readPairOrientation,,STRING,250,outward,reads face away from each other,,ngs
readPairOrientation,,STRING,250,matching,reads face the same direction,,ngs
readStrandOrigin,the strand from which the read originates in a strand-specific protocol,STRING,250,forward,read 1 (or unpaired read) comes from the forward strand and read 2 (if applicable) comes from the reverse strand; equivalent to Tophat 'fr-secondstrand' type,,ngs
readStrandOrigin,,STRING,250,reverse,read 1 (or unpaired read) comes from the reverse strand and read 2 (if applicable) comes from the forward strand; equivalent to Tophat 'fr-firststrand' type,,ngs
readLength,,STRING,250,,,,ngs
libraryPrep,,STRING,250,rRNAdepletion,,,ngs
libraryPrep,,STRING,250,polyAselection,,,ngs
libraryPrep,,STRING,250,lncRNAenrichment,,,ngs
libraryPrep,,STRING,250,miRNAenrichment,,,ngs
