name,description,columnType,maximumSize,enumValues_value,enumValues_description,enumValues_source,project
cellSubType,"This term is to be used when cell type is not specific enough, such as certain classes of T cells",STRING,250,,,,onc
transplantationRecipientTissue,"In the case of a transplate, this describes the transplant destination",STRING,250,,,,onc
transplantationType,"Type of transplantation involved in the experiment, derived from MESH",STRING,250,allograft,"Tissues, cells, or organs transplanted between genetically different individuals of the same species",https://www.ncbi.nlm.nih.gov/mesh/68064591,onc
transplantationType,"Type of transplantation involved in the experiment, derived from MESH",STRING,250,xenograft,"Tissues, cells or organs transplanted between animals of different species",https://www.ncbi.nlm.nih.gov/mesh/68064593,onc
transplantationType,"Type of transplantation involved in the experiment, derived from MESH",STRING,250,autograft,"Transplant comprised of an individual's own tissue, transferred from one part of the body to another.",https://www.ncbi.nlm.nih.gov/mesh/68064592,onc
transplantationType,"Type of transplantation involved in the experiment, derived from MESH",STRING,250,isograft,"Tissues, cells or organs transplanted between genetically identical individuals",https://www.ncbi.nlm.nih.gov/mesh/68064596,onc
genePerturbationType,Specific way in which a single gene was perturbed in a sample,STRING,250,overexpression,Gene overexpression refers to genetic techniques in which an organism or cell line is engineered to express increased levels of a gene.,http://www.bioassayontology.org/bao#BAO_0002442,onc
genePerturbationType,Specific way in which a single gene was perturbed in a sample,STRING,250,knockdown,"Gene knockdown refers to techniques by which the expression of one or more of an organism's genes is reduced, either through genetic modification (a change in the DNA of one of the organism's chromosomes) or by treatment with a reagent such as a short DNA or RNA oligonucleotide with a sequence complementary to either an mRNA transcript or a gene.",http://www.bioassayontology.org/bao#BAO_0002433,onc
genePerturbationType,Specific way in which a single gene was perturbed in a sample,STRING,250,knockout,A gene knockout is a genetic technique in which an organism is engineered to carry genes that have been made inoperative (have been 'knocked out' of the organism).,http://www.bioassayontology.org/bao#BAO_0002441,onc
genePerturbationTechnology,Technology used to perform gene perturbation,STRING,250,RNAi,High throughput sample analysis of RNAi molecules for potential application in gene knockdown or gene silencing of target genes,http://purl.obolibrary.org/obo/ERO_0001688,onc
genePerturbationTechnology,Technology used to perform gene perturbation,STRING,250,CRISPR,,,onc
drugScreenType,String describing general class of drug screen,STRING,250,singleMolecule,An experiment in which a single molecule was used in an assay,,onc
drugScreenType,String describing general class of drug screen,STRING,250,smallMoleculeLibraryScreen,"High throughput sample analysis of small molecules for purpose such as drug discovery, or biochemical, genetic or pharmacological tests.", http://purl.obolibrary.org/obo/ERO_0001726,onc
drugScreenType,String describing general class of drug screen,STRING,250,combinationLibraryScreen,High throughput sample analysis of collections of compounds that provide a variety of chemically diverse structures that can be used to identify structure types that have affinity with pharmacological targets.,http://purl.obolibrary.org/obo/ERO_0001686,onc
timePointUnit,For timed experiments this represents the unit of time measured,STRING,250,hours,,,onc
timePointUnit,For timed experiments this represents the unit of time measured,STRING,250,days,,,onc
transplantationDonorSpecies,Species from which donor tissue originated,STRING,250,Human,,,onc
transplantationDonorSpecies,Species from which donor tissue originated,STRING,250,Mouse,,,onc
experimentalCondition,"This describes the condition under which the data were collected, designed to be free form, extra things that do not fit in pre-defined terms",STRING,250,,,,onc
modelSystem,Name of model system,STRING,250,,,,onc
experimentalTimePoint,Number describing time point at which data was collected,STRING,250,,,,onc
genePerturbed,"In the case of gene modulation, this describes the gene or genes that were modulated",STRING,250,,,,onc
transplantationDonorTissue,,STRING,250,,,,onc
