name,columnType,maximumSize,enumValues.value,enumValues.source,category
specimenID,STRING,250,,,standard
assay,STRING,250,rnaSeq,http://purl.obolibrary.org/obo/OBI_0001271,standard
assay,STRING,250,mirnaSeq,http://purl.obolibrary.org/obo/OBI_0002112,standard
assay,STRING,250,lncrnaSeq,,standard
assay,STRING,250,exomeSeq,http://purl.obolibrary.org/obo/OBI_0002118,standard
assay,STRING,250,CHiPSeq,http://purl.obolibrary.org/obo/OBI_0000716,standard
assay,STRING,250,rnaArray,http://purl.obolibrary.org/obo/OBI_0001463,standard
assay,STRING,250,snpArray,http://purl.obolibrary.org/obo/OBI_0001204,standard
assay,STRING,250,methylationArray,http://purl.obolibrary.org/obo/OBI_0001332,standard
assay,STRING,250,mirnaArray,http://purl.obolibrary.org/obo/OBI_0001335,standard
assay,STRING,250,bisulfiteSeq,http://purl.obolibrary.org/obo/OBI_0000748,standard
assay,STRING,250,ATACSeq,http://purl.obolibrary.org/obo/OBI_0002039,standard
assay,STRING,250,NOMeSeq,,standard
assay,STRING,250,HI-C,http://www.ebi.ac.uk/efo/EFO_0007693,standard
assay,STRING,250,errBisulfiteSeq,,standard
assay,STRING,250,ISOSeq,,standard
assay,STRING,250,MRI,http://edamontology.org/topic_3444,standard
assay,STRING,250,westernBlot,http://purl.obolibrary.org/obo/MMO_0000338,standard
assay,STRING,250,wholeGenomeSeq,http://edamontology.org/topic_3673,standard
assay,STRING,250,polymeraseChainReaction,http://purl.obolibrary.org/obo/MMO_0000459,standard
assay,STRING,250,cellViabilityAssay,http://www.bioassayontology.org/bao#BAO_0003009,standard
assay,STRING,250,atomicForceMicroscopy,http://purl.obolibrary.org/obo/CHMO_0000113,standard
assay,STRING,250,brightfieldMicroscopy,http://purl.obolibrary.org/obo/CHMO_0000104,standard
assay,STRING,250,tractionForceMicroscopy,https://en.wikipedia.org/wiki/Traction_force_microscopy,standard
assay,STRING,250,targetedGeneSeq,https://www.illumina.com/techniques/sequencing/dna-sequencing/targeted-resequencing/targeted-panels.html,standard
assay,STRING,250,jumpingLibrary,,standard
assay,STRING,250,MIB/MS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3328787/,standard
assay,STRING,250,MudPIT,http://purl.obolibrary.org/obo/MI_0658,standard
dataSubtype,STRING,250,dataMatrix,,standard
dataSubtype,STRING,250,raw,,standard
dataSubtype,STRING,250,processed,,standard
dataSubtype,STRING,250,metadata,,standard
organ,STRING,250,skin,http://purl.obolibrary.org/obo/BTO_0001253,standard
organ,STRING,250,nerves,http://purl.obolibrary.org/obo/BTO_0000925,standard
organ,STRING,250,brain,http://purl.obolibrary.org/obo/BTO_0000142,standard
organ,STRING,250,blood,http://purl.obolibrary.org/obo/BTO_0000089,standard
organ,STRING,250,breast,http://purl.obolibrary.org/obo/BTO_0000149,standard
organ,STRING,250,colon,http://purl.obolibrary.org/obo/BTO_0000269,standard
organ,STRING,250,lung,http://purl.obolibrary.org/obo/BTO_0000763,standard
organ,STRING,250,prostate,http://purl.obolibrary.org/obo/FMA_9600,standard
organ,STRING,250,pancreas,http://purl.obolibrary.org/obo/BTO_0000988,standard
organ,STRING,250,ovary,http://purl.obolibrary.org/obo/BTO_0000975,standard
organ,STRING,250,spleen,http://purl.obolibrary.org/obo/BTO_0001281,standard
fundingAgency,STRING,250,CTF,http://www.ctf.org,standard
fundingAgency,STRING,250,NIH-NCI,https://www.cancer.gov,standard
fundingAgency,STRING,250,NTAP,http://www.n-tap.org,standard
fundingAgency,STRING,250,NIH-NIA,https://www.nia.nih.gov,standard
fundingAgency,STRING,250,NIH-NIMH,https://www.nimh.nih.gov,standard
fundingAgency,STRING,250,AACR,http://www.aacr.org,standard
dataType,STRING,250,genomicVariants,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Foperation_3227,standard
dataType,STRING,250,image,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2968,standard
dataType,STRING,250,geneExpression,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0203,standard
dataType,STRING,250,isoformExpression,https://en.wikipedia.org/wiki/Protein_isoform,standard
dataType,STRING,250,proteomics,https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121,standard
dataType,STRING,250,kinomics,http://www.kinomecore.com/what-is-kinomics/,standard
dataType,STRING,250,drugScreen,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/,standard
dataType,STRING,250,cellularPhysiology,,standard
dataType,STRING,250,chromatinActivity,https://en.wikipedia.org/wiki/Chromatin_remodeling,standard
individualIdSource,STRING,250,,,standard
tissue,STRING,250,cerebral cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000956,standard
tissue,STRING,250,frontal lobe,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016525,standard
tissue,STRING,250,hippocampus,https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000601,standard
tissue,STRING,250,nerve tissue,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0003714,standard
tissue,STRING,250,dorsolateral prefrontal cortex,https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0009834,standard
