name,description,columnType,maximumSize,enumValues__value,enumValues__description,enumValues__source,category
specimenID,Identifying string linked to a particular sample or specimen,STRING,250,,,,np
assay,The technology used to generate the data in this file,STRING,250,rnaSeq,RNA Sequencing measurements,http://purl.obolibrary.org/obo/OBI_0001271,np
assay,The technology used to generate the data in this file,STRING,250,mirnaSeq,Small RNA measurements collected from RNA-Seq experiments,http://purl.obolibrary.org/obo/OBI_0002112,np
assay,The technology used to generate the data in this file,STRING,250,lncrnaSeq,Long non-coding RNA measurements collected from RNA-Seq experiments,,np
assay,The technology used to generate the data in this file,STRING,250,exomeSeq,Data derived from exome sequencing,http://purl.obolibrary.org/obo/OBI_0002118,np
assay,The technology used to generate the data in this file,STRING,250,CHiPSeq,Chromatin immuno-precipitation followed by sequencing,http://purl.obolibrary.org/obo/OBI_0000716,np
assay,The technology used to generate the data in this file,STRING,250,rnaArray,RNA measurements captured by array technology,http://purl.obolibrary.org/obo/OBI_0001463,np
assay,The technology used to generate the data in this file,STRING,250,snpArray,SNP measurements captured by array technology,http://purl.obolibrary.org/obo/OBI_0001204,np
assay,The technology used to generate the data in this file,STRING,250,methylationArray,Methylation data captured by array technology,http://purl.obolibrary.org/obo/OBI_0001332,np
assay,The technology used to generate the data in this file,STRING,250,mirnaArray,microRNA measurements captured by array technology,http://purl.obolibrary.org/obo/OBI_0001335,np
assay,The technology used to generate the data in this file,STRING,250,bisulfiteSeq,Methylation data captured by sequencing of DNA treated by a bisulfite-based chemical process,http://purl.obolibrary.org/obo/OBI_0000748,np
assay,The technology used to generate the data in this file,STRING,250,ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment,http://purl.obolibrary.org/obo/OBI_0002039,np
assay,The technology used to generate the data in this file,STRING,250,NOMeSeq,Nucleosome occupancy and DNA methylation profiles measured by chemical treatment of DNA followed by sequencing,,np
assay,The technology used to generate the data in this file,STRING,250,HI-C,Chromatin interactions detected by HI-C protocol,http://www.ebi.ac.uk/efo/EFO_0007693,np
